date,store_id,sku,product_category,total_sales_units,on_hand_inventory_units,replenishment_units,inventory_pipeline,units_in_transit,units_in_dc,units_on_order,units_under_promotion,shelf_capacity
20200921,206,64,Category 01,0,0,0,0,0,0,0,0,108
20200923,206,64,Category 01,0,0,0,0,0,0,0,0,108
20200927,206,64,Category 01,0,0,0,0,0,0,0,0,108
20201002,206,64,Category 01,0,0,0,0,0,0,0,0,108
20201003,206,64,Category 01,0,0,0,0,0,0,0,0,108
20201005,206,64,Category 01,0,0,0,36,0,0,36,0,108
20201010,206,64,Category 01,0,0,0,0,0,0,0,0,108
20201012,206,64,Category 01,0,0,0,72,0,0,72,0,108
20201015,206,64,Category 01,0,0,0,108,0,0,108,0,108
20201017,206,64,Category 01,0,0,0,120,0,0,120,0,108
20201021,206,64,Category 01,0,111,0,132,0,24,0,0,108
20201022,206,64,Category 01,4,134,24,131,0,0,0,0,108
20201023,206,64,Category 01,4,130,0,130,0,0,0,0,108
20201025,206,64,Category 01,4,131,0,140,0,0,12,0,108
20201026,206,64,Category 01,5,129,0,138,0,0,12,0,108
20201027,206,64,Category 01,4,128,0,137,0,12,0,0,108
20201029,206,64,Category 01,4,126,12,135,12,0,0,0,108
20201030,206,64,Category 01,4,134,0,134,0,0,0,0,108
20201103,206,64,Category 01,0,135,0,132,0,0,0,0,108
20201104,206,64,Category 01,12,126,0,123,0,0,0,0,108
20201105,206,64,Category 01,6,123,0,120,0,0,0,0,108
20201106,206,64,Category 01,22,104,0,101,0,0,0,0,108
20201107,206,64,Category 01,4,103,0,100,0,0,0,0,108
20201108,206,64,Category 01,5,101,0,98,0,0,0,0,108
20201110,206,64,Category 01,19,83,0,80,0,0,0,0,108
20201114,206,64,Category 01,4,92,12,101,0,0,12,0,108
20201115,206,64,Category 01,4,88,0,100,0,0,12,0,108
20201116,206,64,Category 01,5,3,0,0,0,0,0,0,108
20201119,206,64,Category 01,5,77,0,86,0,0,12,0,108
20201122,206,64,Category 01,18,60,0,57,0,0,0,0,108
20201123,206,64,Category 01,4,59,0,116,0,0,60,0,108
20201124,206,64,Category 01,5,57,0,90,0,0,36,0,108
20201201,206,64,Category 01,8,77,0,125,0,0,48,0,108
20201204,206,64,Category 01,0,90,0,123,0,0,36,0,108
20201206,206,64,Category 01,4,3,0,0,0,0,0,0,108
20201209,206,64,Category 01,4,84,0,141,0,0,60,0,108
20201211,206,64,Category 01,6,81,0,138,0,0,60,0,108
20201213,206,64,Category 01,4,78,12,111,12,0,24,0,108
20201215,206,64,Category 01,4,85,0,85,0,0,0,0,108
20201218,206,64,Category 01,0,88,0,97,0,0,12,0,108
20201219,206,64,Category 01,7,84,0,81,0,0,0,0,108
20201220,206,64,Category 01,8,0,0,0,0,0,0,0,108
20201222,206,64,Category 01,0,78,0,75,0,0,0,0,108
20201224,206,64,Category 01,4,77,0,74,0,0,0,0,108
20201227,206,64,Category 01,6,74,0,71,0,0,0,0,108
20201228,206,64,Category 01,5,72,0,69,0,0,0,0,108
20201231,206,64,Category 01,4,67,0,64,0,0,0,0,108
20210105,206,64,Category 01,6,58,0,58,0,0,0,0,108
20210107,206,64,Category 01,0,61,0,58,0,0,0,0,108
20210108,206,64,Category 01,4,60,0,57,0,0,0,0,108
20210109,206,64,Category 01,6,57,0,54,0,0,0,0,108
20210115,206,64,Category 01,6,45,0,42,0,0,0,0,108
20210117,206,64,Category 01,18,24,0,33,0,0,12,0,108
20210125,206,64,Category 01,5,46,0,67,0,0,24,0,108
20210126,206,64,Category 01,11,38,12,59,0,12,12,0,108
20210127,206,64,Category 01,6,34,0,70,12,0,24,0,108
20210130,206,64,Category 01,5,38,0,71,0,24,12,0,108
20210131,206,64,Category 01,4,36,24,69,24,0,12,0,108
20210203,206,64,Category 01,6,46,0,82,12,12,12,0,108
20210204,206,64,Category 01,6,58,0,79,0,0,24,0,108
20210205,206,64,Category 01,7,54,0,63,0,0,12,0,108
20210206,206,64,Category 01,6,51,0,60,0,0,12,0,108
20210208,206,64,Category 01,6,48,0,57,0,0,12,0,108
20210209,206,64,Category 01,5,46,0,55,0,0,12,0,108
20210210,206,64,Category 01,4,45,0,78,0,12,24,0,108
20210211,206,64,Category 01,4,44,0,77,0,12,24,0,108
20210212,206,64,Category 01,4,43,12,64,12,0,12,0,108
20210213,206,64,Category 01,5,50,0,62,0,0,12,0,48
20210214,206,64,Category 01,4,49,0,73,0,0,24,0,48
20210215,206,64,Category 01,0,49,0,61,0,0,12,0,48
20210216,206,64,Category 01,0,52,0,61,0,0,12,0,48
20210217,206,64,Category 01,6,49,0,70,0,0,24,0,48
20210218,206,64,Category 01,9,43,0,64,0,0,24,0,48
20210219,206,64,Category 01,8,43,0,64,0,0,24,0,48
20210220,206,64,Category 01,5,36,0,57,0,0,24,0,48
20210221,206,64,Category 01,23,16,0,73,0,12,48,0,48
20210222,206,64,Category 01,15,2,0,2,0,0,0,0,48
20210223,206,64,Category 01,0,5,12,2,0,0,0,0,48
20210224,206,64,Category 01,5,1,0,85,12,0,72,0,48
20210225,206,64,Category 01,13,11,0,95,0,0,84,0,48
20210226,206,64,Category 01,0,1,0,61,0,0,60,0,48
20210227,206,64,Category 01,0,1,0,37,0,24,12,0,0
20210228,206,64,Category 01,0,1,24,37,0,24,12,0,0
20210301,206,64,Category 01,0,1,0,73,24,0,48,0,0
20210302,206,64,Category 01,6,25,0,70,0,24,24,0,0
20210303,206,64,Category 01,10,18,0,87,0,24,48,0,0
20210304,206,64,Category 01,6,15,0,84,0,24,48,0,0
20210305,206,64,Category 01,5,37,24,94,0,0,60,0,0
20210306,206,64,Category 01,6,31,0,79,0,0,48,0,48
20210307,206,64,Category 01,8,31,0,79,0,0,48,0,48
20210308,206,64,Category 01,0,29,0,86,0,0,60,0,48
20210309,206,64,Category 01,5,29,0,86,0,0,60,0,48
20210310,206,64,Category 01,5,25,0,118,0,0,96,0,48
20210311,206,64,Category 01,6,22,0,115,0,0,96,0,48
20210312,206,64,Category 01,4,19,0,115,0,0,96,0,48
20210313,206,64,Category 01,0,21,0,102,0,48,36,0,48
20210314,206,64,Category 01,5,19,12,244,12,36,180,0,48
20210315,206,64,Category 01,4,27,0,243,0,60,156,0,48
20210316,206,64,Category 01,11,30,60,243,0,60,156,0,48
20210317,206,64,Category 01,7,19,0,151,36,24,72,0,48
20210318,206,64,Category 01,0,78,0,183,0,0,108,0,48
20210319,206,64,Category 01,4,78,0,183,0,0,108,0,48
20210320,206,64,Category 01,9,77,0,194,0,0,120,0,48
20210321,206,64,Category 01,11,71,0,188,0,0,120,0,48
20210322,206,64,Category 01,12,63,0,168,0,0,108,0,48
20210323,206,64,Category 01,5,54,0,159,0,0,108,0,48
20210324,206,64,Category 01,5,50,0,203,0,0,156,0,48
20210325,206,64,Category 01,7,48,0,117,0,0,72,0,48
20210326,206,64,Category 01,4,48,0,117,0,0,72,0,48
20210327,206,64,Category 01,12,39,0,96,0,48,12,0,48
20210328,206,64,Category 01,10,36,48,96,0,48,12,0,48
20210329,206,64,Category 01,0,74,0,122,0,0,48,0,48
20210330,206,64,Category 01,5,75,0,132,0,0,60,0,48
20210331,206,64,Category 01,6,72,0,117,0,0,48,0,48
20210401,206,64,Category 01,6,69,0,102,0,0,36,0,48
20210402,206,64,Category 01,5,68,0,101,0,0,36,0,48
20210403,206,64,Category 01,10,60,0,93,0,0,36,0,48
20210404,206,64,Category 01,4,57,0,93,0,0,36,0,48
20210405,206,64,Category 01,0,59,0,92,0,24,12,0,48
20210406,206,64,Category 01,5,57,0,78,0,24,0,0,48
20210407,206,64,Category 01,13,57,24,78,0,24,0,0,48
20210408,206,64,Category 01,4,67,0,67,0,0,0,0,48
20210409,206,64,Category 01,7,70,0,67,0,0,0,0,48
20210410,206,64,Category 01,4,62,0,62,0,0,0,0,48
20210411,206,64,Category 01,0,65,0,62,0,0,0,0,48
20210412,206,64,Category 01,6,65,0,74,0,0,12,0,48
20210413,206,64,Category 01,6,62,0,59,0,0,0,0,48
20210414,206,64,Category 01,4,59,0,56,0,0,0,0,48
20210415,206,64,Category 01,6,55,0,55,0,0,0,0,48
20210416,206,64,Category 01,0,55,0,64,0,0,12,0,48
20210417,206,64,Category 01,4,54,0,51,0,0,0,0,48
20210418,206,64,Category 01,9,51,0,51,0,0,0,0,48
20210419,206,64,Category 01,0,48,0,45,0,0,0,0,48
20210420,206,64,Category 01,9,42,0,75,0,36,0,0,48
20210421,206,64,Category 01,17,42,0,75,0,36,0,0,48
20210422,206,64,Category 01,6,61,36,58,0,0,0,0,48
20210423,206,64,Category 01,9,52,0,52,0,0,0,0,0
20210424,206,64,Category 01,6,52,0,49,0,0,0,0,48
20210425,206,64,Category 01,4,51,0,48,0,0,0,0,48
20210426,206,64,Category 01,5,49,0,46,0,0,0,0,48
20210427,206,64,Category 01,4,45,0,45,0,0,0,0,48
20210428,206,64,Category 01,0,47,0,44,0,0,0,0,48
20210429,206,64,Category 01,5,45,0,42,0,0,0,0,48
20190101,209,64,Category 01,4,21,0,57,12,0,24,0,25
20190102,209,64,Category 01,0,36,0,57,0,0,24,0,25
20190104,209,64,Category 01,9,22,0,46,0,0,24,0,25
20190107,209,64,Category 01,0,19,0,40,0,0,24,0,25
20190108,209,64,Category 01,10,9,0,57,0,0,48,0,25
20190111,209,64,Category 01,0,4,0,64,0,48,12,0,25
20190112,209,64,Category 01,0,7,24,64,24,24,12,0,25
20190116,209,64,Category 01,16,28,0,40,0,0,12,0,25
20190117,209,64,Category 01,5,29,0,62,0,0,36,0,25
20190118,209,64,Category 01,17,15,0,36,0,0,24,0,25
20190120,209,64,Category 01,7,11,12,44,12,0,24,0,25
20190121,209,64,Category 01,7,4,0,40,12,0,24,0,25
20190123,209,64,Category 01,4,18,12,63,12,0,36,0,25
20190124,209,64,Category 01,11,19,0,55,0,12,24,0,25
20190125,209,64,Category 01,0,22,12,55,12,0,24,0,25
20190127,209,64,Category 01,8,22,0,58,0,24,12,0,25
20190129,209,64,Category 01,5,20,24,65,24,0,24,0,25
20190130,209,64,Category 01,9,35,0,35,0,0,0,0,25
20190131,209,64,Category 01,32,9,0,30,0,0,24,0,25
20190201,209,64,Category 01,5,4,0,52,0,0,48,0,25
20190205,209,64,Category 01,0,3,0,39,0,24,12,0,25
20190207,209,64,Category 01,0,30,0,75,0,12,36,0,25
20190212,209,64,Category 01,7,25,0,37,0,12,0,0,25
20190218,209,64,Category 01,0,3,0,3,0,0,0,0,25
20190220,209,64,Category 01,0,3,0,75,0,72,0,0,25
20190222,209,64,Category 01,0,78,0,87,0,12,0,0,25
20190224,209,64,Category 01,21,57,0,78,0,24,0,0,25
20190225,209,64,Category 01,10,50,24,71,24,0,0,0,25
20190226,209,64,Category 01,13,37,0,73,24,12,0,0,25
20190228,209,64,Category 01,4,61,0,82,12,12,0,0,25
20190303,209,64,Category 01,10,62,0,74,0,12,0,0,36
20190305,209,64,Category 01,0,64,0,73,0,12,0,0,36
20190306,209,64,Category 01,5,62,12,71,12,0,0,0,36
20190307,209,64,Category 01,7,67,0,67,0,0,0,0,36
20190308,209,64,Category 01,11,62,0,59,0,0,0,0,36
20190311,209,64,Category 01,4,49,12,70,12,12,0,0,36
20190313,209,64,Category 01,5,65,0,65,0,0,0,0,36
20190314,209,64,Category 01,6,65,0,62,0,0,0,0,36
20190316,209,64,Category 01,19,44,0,41,0,0,0,0,36
20190317,209,64,Category 01,6,38,0,50,0,12,0,0,36
20190318,209,64,Category 01,0,41,0,50,0,12,0,0,36
20190320,209,64,Category 01,5,49,0,58,0,12,0,0,36
20190326,209,64,Category 01,8,15,0,48,24,12,0,0,36
20190328,209,64,Category 01,7,26,12,206,12,168,0,0,36
20190404,209,64,Category 01,0,178,0,178,0,0,0,0,36
20190406,209,64,Category 01,10,169,0,166,0,0,0,0,36
20190407,209,64,Category 01,14,158,0,155,0,0,0,0,36
20190408,209,64,Category 01,6,155,0,152,0,0,0,0,36
20190411,209,64,Category 01,4,151,0,148,0,0,0,0,36
20190413,209,64,Category 01,10,3,0,0,0,0,0,0,36
20190414,209,64,Category 01,5,140,0,137,0,0,0,0,36
20190415,209,64,Category 01,5,137,0,134,0,0,0,0,36
20190416,209,64,Category 01,9,132,0,129,0,0,0,0,36
20190417,209,64,Category 01,4,131,0,128,0,0,0,0,36
20190418,209,64,Category 01,5,128,0,125,0,0,0,0,36
20190423,209,64,Category 01,10,112,0,109,0,0,0,0,36
20190428,209,64,Category 01,13,93,108,198,108,0,0,0,36
20190429,209,64,Category 01,8,193,0,193,0,0,0,0,36
20190503,209,64,Category 01,4,183,0,180,0,0,0,0,36
20190505,209,64,Category 01,8,163,0,160,0,0,0,0,36
20190506,209,64,Category 01,6,160,0,157,0,0,0,0,36
20190507,209,64,Category 01,4,159,0,156,0,0,0,0,36
20190513,209,64,Category 01,7,147,0,144,0,0,0,0,36
20190514,209,64,Category 01,4,144,0,141,0,0,0,0,36
20190516,209,64,Category 01,8,139,0,136,0,0,0,0,36
20190518,209,64,Category 01,7,131,0,128,0,0,0,0,36
20190519,209,64,Category 01,9,124,0,121,0,0,0,0,36
20190523,209,64,Category 01,8,113,0,110,0,0,0,0,36
20190524,209,64,Category 01,5,111,0,108,0,0,0,0,36
20190527,209,64,Category 01,4,105,0,102,0,0,0,0,36
20190531,209,64,Category 01,5,93,0,150,48,12,0,0,36
20190609,209,64,Category 01,9,118,0,115,0,0,0,0,36
20190610,209,64,Category 01,5,116,0,113,0,0,0,0,36
20190611,209,64,Category 01,8,111,0,108,0,0,0,0,36
20190612,209,64,Category 01,7,109,0,106,0,0,0,0,36
20190615,209,64,Category 01,7,98,0,95,0,0,0,0,0
20190619,209,64,Category 01,8,88,0,85,0,0,0,0,0
20190623,209,64,Category 01,4,165,0,186,0,24,0,0,36
20190625,209,64,Category 01,5,183,0,180,0,0,0,0,36
20190626,209,64,Category 01,4,181,0,178,0,0,0,0,36
20190627,209,64,Category 01,9,169,0,166,0,0,0,0,36
20190629,209,64,Category 01,7,81,0,78,0,0,0,0,36
20190701,209,64,Category 01,5,75,0,84,0,12,0,0,36
20190702,209,64,Category 01,5,70,12,82,12,0,0,0,36
20190704,209,64,Category 01,0,80,0,80,0,0,0,0,36
20190711,209,64,Category 01,5,58,0,55,0,0,0,0,36
20190713,209,64,Category 01,6,47,0,56,0,12,0,0,0
20190714,209,64,Category 01,6,46,12,55,12,0,0,0,0
20190717,209,64,Category 01,10,45,120,165,120,0,0,0,0
20190721,209,64,Category 01,8,312,0,312,0,0,0,0,36
20190722,209,64,Category 01,12,297,0,294,0,0,0,0,36
20190724,209,64,Category 01,6,285,12,306,24,0,0,0,36
20190726,209,64,Category 01,6,302,12,326,24,0,0,0,36
20190727,209,64,Category 01,7,157,0,157,0,0,0,0,36
20190728,209,64,Category 01,5,155,0,155,0,0,0,0,36
20190729,209,64,Category 01,0,158,0,155,0,0,0,0,36
20190731,209,64,Category 01,4,156,0,165,0,12,0,0,36
20190802,209,64,Category 01,4,154,12,163,12,0,0,0,36
20190803,209,64,Category 01,6,160,0,160,0,0,0,0,36
20190804,209,64,Category 01,4,162,0,159,0,0,0,0,36
20190806,209,64,Category 01,7,156,0,153,0,0,0,0,36
20190807,209,64,Category 01,6,154,0,163,0,12,0,0,36
20190808,209,64,Category 01,11,148,0,157,0,12,0,0,36
20190809,209,64,Category 01,6,142,12,151,12,0,0,0,36
20190810,209,64,Category 01,6,149,0,149,0,0,0,0,36
20190813,209,64,Category 01,0,142,0,139,0,0,0,0,36
20190818,209,64,Category 01,6,201,0,198,0,0,0,0,36
20190819,209,64,Category 01,9,195,0,192,0,0,0,0,36
20190820,209,64,Category 01,14,184,0,181,0,0,0,0,36
20190821,209,64,Category 01,4,183,0,180,0,0,0,0,36
20190824,209,64,Category 01,5,178,0,187,0,0,12,0,36
20190828,209,64,Category 01,4,162,0,171,0,0,12,0,36
20190829,209,64,Category 01,5,157,0,181,0,24,0,0,36
20190901,209,64,Category 01,0,182,0,179,0,0,0,0,36
20190903,209,64,Category 01,5,179,0,176,0,0,0,0,36
20190904,209,64,Category 01,11,171,0,168,0,0,0,0,36
20190905,209,64,Category 01,5,169,0,166,0,0,0,0,36
20190906,209,64,Category 01,9,164,0,161,0,0,0,0,36
20190907,209,64,Category 01,4,162,0,159,0,0,0,0,36
20190908,209,64,Category 01,6,159,0,156,0,0,0,0,36
20190910,209,64,Category 01,4,155,0,152,0,0,0,0,36
20190911,209,64,Category 01,5,153,0,150,0,0,0,0,36
20190912,209,64,Category 01,4,152,0,149,0,0,0,0,36
20190918,209,64,Category 01,4,144,0,141,0,0,0,0,36
20190920,209,64,Category 01,6,139,0,136,0,0,0,0,36
20190924,209,64,Category 01,5,130,0,127,0,0,0,0,36
20190929,209,64,Category 01,4,118,0,115,0,0,0,0,36
20190930,209,64,Category 01,4,117,0,114,0,0,0,0,36
20191002,209,64,Category 01,4,116,0,113,0,0,0,0,36
20191003,209,64,Category 01,5,114,0,111,0,0,0,0,36
20191005,209,64,Category 01,5,106,0,151,0,0,48,0,36
20191009,209,64,Category 01,5,102,0,147,0,0,48,0,36
20191011,209,64,Category 01,9,94,0,139,0,0,48,0,36
20191014,209,64,Category 01,5,88,0,133,0,0,48,0,36
20191017,209,64,Category 01,5,73,12,118,12,36,0,0,36
20191019,209,64,Category 01,5,116,0,116,0,0,0,0,36
20191021,209,64,Category 01,5,110,0,107,0,0,0,0,36
20191023,209,64,Category 01,4,109,0,106,0,0,0,0,36
20191024,209,64,Category 01,4,108,0,105,0,0,0,0,36
20191025,209,64,Category 01,4,107,0,104,0,0,0,0,36
20191031,209,64,Category 01,5,3,0,0,0,0,0,0,36
20191102,209,64,Category 01,7,89,0,89,0,0,0,0,36
20191103,209,64,Category 01,0,92,0,89,0,0,0,0,36
20191104,209,64,Category 01,6,89,0,86,0,0,0,0,36
20191105,209,64,Category 01,6,86,0,83,0,0,0,0,36
20191106,209,64,Category 01,5,84,0,81,0,0,0,0,36
20191107,209,64,Category 01,6,81,0,78,0,0,0,0,36
20191108,209,64,Category 01,5,76,0,76,0,0,0,0,36
20191109,209,64,Category 01,0,79,0,76,0,0,0,0,36
20191116,209,64,Category 01,6,67,0,64,0,0,0,0,36
20191117,209,64,Category 01,4,66,0,63,0,0,0,0,36
20191118,209,64,Category 01,4,65,0,62,0,0,0,0,36
20191121,209,64,Category 01,6,57,0,54,0,0,0,0,36
20191122,209,64,Category 01,5,55,0,52,0,0,0,0,36
20191123,209,64,Category 01,4,51,0,51,0,0,0,0,36
20191125,209,64,Category 01,0,48,0,48,0,0,0,0,36
20191126,209,64,Category 01,0,3,0,0,0,0,0,0,36
20191202,209,64,Category 01,4,48,0,57,0,0,12,0,36
20191204,209,64,Category 01,5,46,0,43,0,0,0,0,36
20191205,209,64,Category 01,4,45,0,42,0,0,0,0,36
20191210,209,64,Category 01,8,29,0,50,0,0,24,0,36
20191212,209,64,Category 01,10,19,0,40,0,0,24,0,36
20191213,209,64,Category 01,10,12,0,33,0,0,24,0,36
20191217,209,64,Category 01,4,5,24,65,24,0,36,0,36
20191219,209,64,Category 01,0,28,0,64,0,36,0,0,36
20191225,209,64,Category 01,0,65,0,62,0,0,0,0,36
20191227,209,64,Category 01,6,61,0,58,0,0,0,0,36
20191229,209,64,Category 01,5,56,0,53,0,0,0,0,36
20191230,209,64,Category 01,5,54,0,51,0,0,0,0,36
20191231,209,64,Category 01,4,50,0,50,0,0,0,0,36
20200103,209,64,Category 01,0,50,0,47,0,0,0,0,36
20200104,209,64,Category 01,5,48,0,45,0,0,0,0,36
20200112,209,64,Category 01,5,33,12,45,12,0,0,0,36
20200117,209,64,Category 01,0,41,0,53,0,0,12,0,36
20200119,209,64,Category 01,4,42,0,39,0,0,0,0,36
20200122,209,64,Category 01,7,35,0,32,0,0,0,0,36
20200123,209,64,Category 01,6,32,0,53,0,0,24,0,36
20200124,209,64,Category 01,5,30,0,51,0,0,24,0,36
20200126,209,64,Category 01,4,25,0,37,0,0,12,0,36
20200127,209,64,Category 01,0,28,0,37,0,0,12,0,36
20200128,209,64,Category 01,4,27,0,36,0,12,0,0,36
20200129,209,64,Category 01,4,26,12,35,12,0,0,0,36
20200130,209,64,Category 01,5,33,0,33,0,0,0,0,36
20200131,209,64,Category 01,0,36,0,33,0,0,0,0,36
20200201,209,64,Category 01,4,35,0,56,0,0,24,0,36
20200204,209,64,Category 01,5,29,0,41,0,0,12,0,36
20200205,209,64,Category 01,0,32,0,41,0,0,12,0,36
20200206,209,64,Category 01,4,31,0,40,0,12,0,0,36
20200215,209,64,Category 01,4,33,12,42,12,0,0,0,36
20200223,209,64,Category 01,8,32,0,32,0,0,0,0,30
20200225,209,64,Category 01,0,33,0,30,0,0,0,0,30
20200227,209,64,Category 01,4,32,0,29,0,0,0,0,30
20200228,209,64,Category 01,4,31,0,28,0,0,0,0,30
20200229,209,64,Category 01,4,30,0,27,0,0,0,0,30
20200302,209,64,Category 01,6,25,0,22,0,0,0,0,30
20200303,209,64,Category 01,8,20,0,29,0,12,0,0,30
20200306,209,64,Category 01,5,29,0,26,0,0,0,0,30
20200308,209,64,Category 01,8,23,0,20,0,0,0,0,30
20200309,209,64,Category 01,4,21,0,30,0,12,0,0,30
20200312,209,64,Category 01,499,24,0,81,0,60,0,0,30
20200313,209,64,Category 01,5,7,0,67,0,60,0,0,30
20200318,209,64,Category 01,0,4,0,28,0,24,0,0,30
20200319,209,64,Category 01,0,7,12,28,12,12,0,0,30
20200321,209,64,Category 01,15,3,12,15,12,0,0,0,30
20200323,209,64,Category 01,0,0,0,0,0,0,0,0,30
20200324,209,64,Category 01,4,-1,0,-1,0,0,0,0,30
20200325,209,64,Category 01,0,0,0,0,0,0,0,0,30
20200326,209,64,Category 01,0,3,0,0,0,0,0,0,30
20200331,209,64,Category 01,15,0,12,60,12,48,0,0,30
20200402,209,64,Category 01,0,0,48,48,48,0,0,0,30
20200404,209,64,Category 01,11,0,0,0,0,0,0,0,30
20200406,209,64,Category 01,0,0,0,0,0,0,0,0,30
20200409,209,64,Category 01,0,0,0,0,0,0,0,0,30
20200410,209,64,Category 01,0,0,0,0,0,0,0,0,30
20200417,209,64,Category 01,0,0,0,0,0,0,0,0,30
20200418,209,64,Category 01,0,0,0,0,0,0,0,0,30
20200420,209,64,Category 01,0,0,0,0,0,0,0,0,30
20200421,209,64,Category 01,0,0,0,0,0,0,0,0,30
20200426,209,64,Category 01,0,0,0,0,0,0,0,0,30
20200427,209,64,Category 01,0,0,0,0,0,0,0,0,30
20200430,209,64,Category 01,0,0,0,0,0,0,0,0,30
20200504,209,64,Category 01,0,0,0,0,0,0,0,0,30
20200505,209,64,Category 01,0,0,0,0,0,0,0,0,30
20200506,209,64,Category 01,0,0,0,0,0,0,0,0,30
20200507,209,64,Category 01,0,0,0,0,0,0,0,0,30
20200508,209,64,Category 01,0,0,0,0,0,0,0,0,30
20200510,209,64,Category 01,0,0,0,0,0,0,0,0,30
20200512,209,64,Category 01,0,0,0,0,0,0,0,0,30
20200513,209,64,Category 01,0,0,0,0,0,0,0,0,30
20200514,209,64,Category 01,0,0,0,0,0,0,0,0,30
20200515,209,64,Category 01,0,0,0,0,0,0,0,0,30
20200516,209,64,Category 01,0,0,0,0,0,0,0,0,30
20200518,209,64,Category 01,0,0,0,0,0,0,0,0,30
20200521,209,64,Category 01,0,0,0,0,0,0,0,0,30
20200526,209,64,Category 01,0,0,0,0,0,0,0,0,30
20200527,209,64,Category 01,0,0,0,0,0,0,0,0,30
20200528,209,64,Category 01,0,0,0,0,0,0,0,0,30
20200531,209,64,Category 01,0,0,0,0,0,0,0,0,30
20200601,209,64,Category 01,0,0,0,0,0,0,0,0,30
20200603,209,64,Category 01,0,0,0,0,0,0,0,0,30
20200607,209,64,Category 01,0,0,0,0,0,0,0,0,30
20200613,209,64,Category 01,0,0,0,0,0,0,0,0,30
20200614,209,64,Category 01,0,0,0,0,0,0,0,0,30
20200616,209,64,Category 01,0,0,0,0,0,0,0,0,30
20200617,209,64,Category 01,0,0,0,0,0,0,0,0,30
20200618,209,64,Category 01,0,0,0,0,0,0,0,0,30
20200622,209,64,Category 01,0,0,0,0,0,0,0,0,30
20200628,209,64,Category 01,0,0,0,0,0,0,0,0,30
20200702,209,64,Category 01,0,0,0,0,0,0,0,0,30
20200703,209,64,Category 01,0,0,0,0,0,0,0,0,30
20200705,209,64,Category 01,0,0,0,0,0,0,0,0,30
20200708,209,64,Category 01,0,0,0,0,0,0,0,0,30
20200710,209,64,Category 01,0,0,0,0,0,0,0,0,30
20200721,209,64,Category 01,0,0,0,0,0,0,0,0,30
20200724,209,64,Category 01,0,0,0,0,0,0,0,0,30
20200727,209,64,Category 01,0,0,0,0,0,0,0,0,30
20200729,209,64,Category 01,0,0,0,0,0,0,0,0,30
20200803,209,64,Category 01,0,0,0,0,0,0,0,0,30
20200806,209,64,Category 01,0,0,0,0,0,0,0,0,30
20200807,209,64,Category 01,0,0,0,0,0,0,0,0,30
20200808,209,64,Category 01,0,0,0,0,0,0,0,0,30
20200809,209,64,Category 01,0,0,0,0,0,0,0,0,30
20200810,209,64,Category 01,0,0,0,0,0,0,0,0,30
20200813,209,64,Category 01,0,0,0,0,0,0,0,0,30
20200815,209,64,Category 01,0,0,0,0,0,0,0,0,30
20200817,209,64,Category 01,0,0,0,0,0,0,0,0,30
20200818,209,64,Category 01,0,0,0,0,0,0,0,0,30
20200821,209,64,Category 01,0,0,0,0,0,0,0,0,30
20200825,209,64,Category 01,0,0,0,0,0,0,0,0,30
20200826,209,64,Category 01,0,0,0,0,0,0,0,0,30
20200828,209,64,Category 01,0,0,0,0,0,0,0,0,30
20200830,209,64,Category 01,0,0,0,0,0,0,0,0,30
20200902,209,64,Category 01,0,0,0,0,0,0,0,0,30
20200904,209,64,Category 01,0,0,0,0,0,0,0,0,30
20200905,209,64,Category 01,0,0,0,0,0,0,0,0,30
20200907,209,64,Category 01,0,0,0,0,0,0,0,0,30
20200909,209,64,Category 01,0,0,0,0,0,0,0,0,30
20200910,209,64,Category 01,0,0,0,0,0,0,0,0,30
20200911,209,64,Category 01,0,0,0,0,0,0,0,0,30
20200912,209,64,Category 01,0,0,0,0,0,0,0,0,30
20200915,209,64,Category 01,0,0,0,0,0,0,0,0,30
20200916,209,64,Category 01,0,0,0,0,0,0,0,0,30
20200918,209,64,Category 01,0,0,0,0,0,0,0,0,30
20200919,209,64,Category 01,0,0,0,0,0,0,0,0,30
20200923,209,64,Category 01,0,0,0,0,0,0,0,0,30
20200925,209,64,Category 01,0,0,0,0,0,0,0,0,30
20200926,209,64,Category 01,0,0,0,0,0,0,0,0,30
20200927,209,64,Category 01,0,0,0,0,0,0,0,0,30
20201002,209,64,Category 01,0,0,0,0,0,0,0,0,30
20201006,209,64,Category 01,0,0,0,0,0,0,0,0,30
20201008,209,64,Category 01,0,0,0,0,0,0,0,0,30
20201010,209,64,Category 01,0,0,0,0,0,0,0,0,30
20201012,209,64,Category 01,0,0,0,36,0,0,36,0,30
20201013,209,64,Category 01,0,0,0,36,0,0,36,0,30
20201014,209,64,Category 01,0,0,0,60,0,0,60,0,30
20201015,209,64,Category 01,0,0,0,60,0,0,60,0,30
20201019,209,64,Category 01,0,3,36,60,36,0,24,0,30
20201021,209,64,Category 01,4,35,24,71,24,0,12,0,30
20201023,209,64,Category 01,4,55,0,67,0,0,12,0,30
20201025,209,64,Category 01,8,47,0,59,0,0,12,0,30
20201029,209,64,Category 01,0,44,24,68,24,0,0,0,30
20201101,209,64,Category 01,0,61,0,61,0,0,0,0,30
20201105,209,64,Category 01,10,32,0,41,0,0,12,0,30
20201107,209,64,Category 01,4,25,0,34,0,0,12,0,30
20201108,209,64,Category 01,4,24,0,57,0,0,36,0,30
